native_timeframe,direction_class,hypothesis,state,window_sec,horizon_sec,native_agreement,n,match_pct,signed_mean_bps,signed_median_bps
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,600,MISSING,120,50.833333333333336,1.6417726409166662,0.130488625
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,600,NATIVE_STALLED,2,0.0,-3.1606744200000003,-3.1606744200000003
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,600,OPPOSITE_DIRECTION,37,56.75675675675676,-4.232895067297297,0.07804318
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,600,SAME_DIRECTION,79,45.56962025316456,-2.1953295077215187,-0.87052631
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,600,STALE,34,47.05882352941177,-0.785881651470588,-0.63276447
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,60,MISSING,34,29.41176470588235,-0.9938277902941176,-0.438413725
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,60,OPPOSITE_DIRECTION,6,66.66666666666667,0.26919161499999983,1.0647726450000001
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,60,SAME_DIRECTION,25,40.0,-0.21667502919999998,-0.01558171
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,60,STALE,23,34.78260869565217,-0.24854332000000004,0.0
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,180,MISSING,33,48.484848484848484,0.11384082545454512,0.0
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,180,OPPOSITE_DIRECTION,6,50.0,1.8393744383333333,-0.11007549
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,180,SAME_DIRECTION,23,47.82608695652174,0.3661470886956521,-0.01558171
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,180,STALE,23,34.78260869565217,-0.6566688330434782,-1.00021255
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,300,MISSING,33,66.66666666666667,1.836111863939394,0.75593836
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,300,OPPOSITE_DIRECTION,6,50.0,-1.211589870000001,-2.265292085
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,300,SAME_DIRECTION,23,56.52173913043478,0.22453061000000002,0.32644737
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,300,STALE,23,65.21739130434783,1.5562646700000002,0.92179866
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,600,MISSING,29,34.48275862068966,-0.8786731882758619,-3.45478834
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,600,OPPOSITE_DIRECTION,6,100.0,9.650333336666668,10.14811995
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,600,SAME_DIRECTION,23,65.21739130434783,0.4705434934782612,1.43419687
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,900,600,STALE,23,43.47826086956522,0.17690439956521747,-0.28124912
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,60,MISSING,13,38.46153846153846,0.3846937838461538,-0.35330641
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,60,OPPOSITE_DIRECTION,3,33.333333333333336,-0.32716853333333334,-0.01558098
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,60,SAME_DIRECTION,1,0.0,-3.1398736,-3.1398736
