state,hypothesis,window_sec,horizon_sec,new_n,new_match_pct,new_signed_median_bps,old_n,old_match_pct,old_signed_median_bps,match_diff_pp,same_median_sign,same_accuracy_side,comparison_eligible
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,60,300,588,51.36054421768708,0.23214591,920,49.02173913043478,-0.21195349000000002,2.3388050872522967,False,False,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,60,600,568,48.767605633802816,-0.3225776,906,50.0,0.037864725,-1.232394366197184,False,False,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,180,60,357,49.57983193277311,-0.0,384,51.302083333333336,0.25877680000000003,-1.722251400560225,False,False,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,180,180,345,47.82608695652174,-0.01561941,378,52.116402116402114,0.278363,-4.290315159880372,False,False,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,180,300,334,47.90419161676647,-0.07675370000000001,372,50.26881720430107,0.11277841499999999,-2.3646255875346043,False,False,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,180,600,309,45.954692556634306,-0.52822755,364,46.97802197802198,-0.590255035,-1.0233294213876718,True,True,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,300,60,269,51.6728624535316,0.01562649,231,54.97835497835498,0.72946,-3.3054925248233786,True,True,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,300,180,261,43.29501915708812,-0.52818898,230,46.08695652173913,-0.736715275,-2.7919373646510124,True,True,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,300,300,258,50.3875968992248,0.046769635000000004,226,49.557522123893804,-0.015090175,0.8300747753309992,False,False,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,300,600,240,43.333333333333336,-0.9886744599999999,224,51.339285714285715,0.348736375,-8.00595238095238,False,False,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,900,60,109,49.54128440366973,-0.0,33,57.57575757575758,1.07021355,-8.03447317208785,False,False,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,900,180,105,45.714285714285715,-0.04686387,33,45.45454545454545,-0.72360318,0.25974025974026205,True,True,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,900,300,104,37.5,-1.11623237,33,48.484848484848484,-1.52268958,-10.984848484848484,True,True,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,900,600,102,53.92156862745098,0.093657675,32,34.375,-4.367357315,19.54656862745098,False,False,True
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,1800,60,34,47.05882352941177,-0.0,8,62.5,1.971386135,-15.441176470588232,False,False,False
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,1800,180,34,50.0,0.140161885,8,87.5,4.396171170000001,-37.5,True,True,False
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,1800,300,34,47.05882352941177,-0.26543632500000003,8,62.5,0.35548473999999997,-15.441176470588232,False,False,False
SELL_EFFECTIVE,EFFECTIVE_CONTINUATION,1800,600,34,44.11764705882353,-0.445089405,8,62.5,1.94856464,-18.38235294117647,False,False,False
SELL_TRAPPED,TRAPPED_REVERSAL,30,60,117,56.41025641025641,0.48220508,225,56.0,0.69813537,0.4102564102564088,True,True,True
SELL_TRAPPED,TRAPPED_REVERSAL,30,180,110,48.18181818181818,-0.15454469,225,48.44444444444444,-0.11987713,-0.262626262626263,True,True,True
SELL_TRAPPED,TRAPPED_REVERSAL,30,300,103,49.51456310679612,0.0,224,53.125,0.83984608,-3.6104368932038824,False,False,True
SELL_TRAPPED,TRAPPED_REVERSAL,30,600,92,60.869565217391305,1.761320485,223,53.36322869955157,1.41021506,7.506336517839735,True,True,True
SELL_TRAPPED,TRAPPED_REVERSAL,60,60,123,53.65853658536585,0.07692343,145,55.86206896551724,0.5310046,-2.203532380151387,True,True,True
SELL_TRAPPED,TRAPPED_REVERSAL,60,180,114,42.98245614035088,-0.72590368,144,59.02777777777778,1.3131082950000001,-16.045321637426902,False,False,True
SELL_TRAPPED,TRAPPED_REVERSAL,60,300,113,44.24778761061947,-0.95105052,139,53.9568345323741,1.15222918,-9.709046921754634,False,False,True
SELL_TRAPPED,TRAPPED_REVERSAL,60,600,102,56.86274509803921,0.56229518,136,54.411764705882355,0.945949995,2.4509803921568576,True,True,True
SELL_TRAPPED,TRAPPED_REVERSAL,180,60,91,41.75824175824176,0.0,47,42.5531914893617,-0.55490567,-0.7949497311199423,False,True,True
SELL_TRAPPED,TRAPPED_REVERSAL,180,180,91,40.65934065934066,-1.93761793,45,55.55555555555556,1.36003022,-14.8962148962149,False,False,True
SELL_TRAPPED,TRAPPED_REVERSAL,180,300,89,47.19101123595506,-0.01559778,39,46.15384615384615,-0.59123606,1.0371650821089062,True,True,True
SELL_TRAPPED,TRAPPED_REVERSAL,180,600,81,44.44444444444444,-0.34391282,39,48.717948717948715,-1.60591457,-4.2735042735042725,True,True,True
SELL_TRAPPED,TRAPPED_REVERSAL,300,60,49,59.183673469387756,0.3431618,19,57.89473684210526,1.08073706,1.2889366272824958,True,True,False
SELL_TRAPPED,TRAPPED_REVERSAL,300,180,48,47.916666666666664,-0.00779252,18,44.44444444444444,-1.932165625,3.4722222222222214,True,True,False
SELL_TRAPPED,TRAPPED_REVERSAL,300,300,45,64.44444444444444,0.82573167,15,40.0,-1.35092133,24.444444444444443,False,False,False
SELL_TRAPPED,TRAPPED_REVERSAL,300,600,44,40.90909090909091,-1.030663005,15,60.0,7.25820811,-19.090909090909093,False,False,False
SELL_TRAPPED,TRAPPED_REVERSAL,900,60,26,53.84615384615385,0.17919456,,,,,False,False,False
SELL_TRAPPED,TRAPPED_REVERSAL,900,180,26,42.30769230769231,-1.35547352,,,,,False,False,False
SELL_TRAPPED,TRAPPED_REVERSAL,900,300,26,53.84615384615385,0.14811014,,,,,False,False,False
SELL_TRAPPED,TRAPPED_REVERSAL,900,600,26,38.46153846153846,-3.89612666,,,,,False,False,False
SELL_TRAPPED,TRAPPED_REVERSAL,1800,60,25,32.0,-2.05831904,,,,,False,False,False
SELL_TRAPPED,TRAPPED_REVERSAL,1800,180,25,16.0,-3.55552229,,,,,False,False,False
SELL_TRAPPED,TRAPPED_REVERSAL,1800,300,25,32.0,-0.70157386,,,,,False,False,False
SELL_TRAPPED,TRAPPED_REVERSAL,1800,600,25,16.0,-3.30575935,,,,,False,False,False
