source_dataset,direction_class,hypothesis,state,horizon_sec,n,window_count,mfe_p25_bps,mfe_median_bps,mfe_p75_bps,mfe_p95_bps,mae_p05_bps,mae_p25_bps,mae_median_bps,mae_p75_bps,threshold_p25_bps,threshold_median_bps,threshold_p75_bps,reached_20usd_n,reached_20usd_pct
NEW_05M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,BUY_STALLED,180,2873,5,0.35746202,1.85068375,4.33697348,11.746380606000013,-11.747994347999999,-4.35643928,-1.78137525,-0.03118461,3.0855578920085596,3.116866925366622,3.1229018003528877,1024,35.64218586843021
NEW_05M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,BUY_STALLED,300,2823,5,0.76586637,2.71623202,5.67397289,14.139762343000005,-15.09300299,-5.32850671,-2.64875898,-0.45212044,3.0854864886840403,3.1169397885156354,3.122967631223148,1288,45.62522139567836
NEW_05M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,BUY_STALLED,600,2720,5,1.55686459,4.13361723,8.08825707,19.956959584999993,-24.751995472,-6.89962371,-3.6687282750000003,-1.3278030950000002,3.0855721730979466,3.117049089674171,3.1229018003528877,1625,59.74264705882353
NEW_05M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,BUY_STALLED,60,2906,5,0.015576092500000001,0.41490705,2.2851396674999997,7.069887725,-6.1660310350000005,-2.1247504824999996,-0.6552136900000001,-0.01535014,3.085522190056218,3.1168620679444765,3.1229444681932623,552,18.99518238128011
NEW_05M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,BUY_STALLED,180,2873,5,0.03118461,1.78137525,4.35643928,11.747994348000002,-11.746380606,-4.33697348,-1.85068375,-0.35746202,3.0855578920085596,3.116866925366622,3.1229018003528877,1003,34.9112426035503
NEW_05M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,BUY_STALLED,300,2823,5,0.45212044,2.64875898,5.32850671,15.093002989999999,-14.139762343000001,-5.67397289,-2.71623202,-0.76586637,3.0854864886840403,3.1169397885156354,3.122967631223148,1218,43.145589798087144
NEW_05M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,BUY_STALLED,600,2720,5,1.3278030950000002,3.6687282750000003,6.89962371,24.75199547199999,-19.956959585,-8.08825707,-4.13361723,-1.55686459,3.0855721730979466,3.117049089674171,3.1229018003528877,1515,55.6985294117647
NEW_05M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,SELL_STALLED,60,3117,6,-0.0,0.37287693,1.77706003,4.590862073999992,-4.367005104,-1.60503639,-0.26504563,-0.01558822,3.107220870581144,3.1186019930985336,3.1227311406556173,372,11.934552454282965
NEW_05M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,SELL_STALLED,180,3050,6,0.015620970000000001,1.3529941,3.6596071974999997,8.349142467999998,-7.860032739999999,-3.3619419975,-1.4133273700000002,-0.01562585,3.107423635064168,3.1186408962973937,3.1228189061702216,911,29.868852459016395
NEW_05M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,SELL_STALLED,300,3002,6,0.33095999249999997,2.04698694,4.5605339775000004,10.612741319999998,-10.647408377,-4.372582575,-2.23586674,-0.50199327,3.1073753554060564,3.118684663556299,3.1228189061702216,1162,38.70752831445703
NEW_05M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,SELL_STALLED,600,2852,6,0.85990572,3.06720029,6.102338509999999,15.82242110999999,-16.8701151545,-6.60166331,-3.712662065,-1.2904432125,3.107515370547902,3.118738158541054,3.1230200540843276,1419,49.754558204768585
NEW_05M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,60,3117,6,0.01558822,0.26504563,1.60503639,4.367005104,-4.590862074,-1.77706003,-0.37287693,0.0,3.107220870581144,3.1186019930985336,3.1227311406556173,317,10.170035290343279
