source_dataset,direction_class,hypothesis,state,window_sec,horizon_sec,jst_hour,n,match_pct,flat_pct,signed_mean_bps,signed_median_bps
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,9,29,65.51724137931035,0.0,2.0288981272413795,1.69495704
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,10,37,27.027027027027028,0.0,-1.136050302702702,-2.07576384
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,11,37,59.45945945945946,0.0,2.7672517278378383,4.27883209
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,12,44,77.27272727272727,2.272727272727273,3.213752492272727,1.818960485
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,13,15,46.666666666666664,0.0,-1.1949073913333335,-3.5630943
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,14,5,40.0,0.0,-0.463096694,-0.10937756
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,15,4,75.0,0.0,-0.44540891999999993,0.28118955
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,16,2,0.0,0.0,-1.359433365,-1.359433365
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,17,9,77.77777777777777,0.0,3.417862274444444,3.45694925
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,18,19,63.1578947368421,0.0,-0.6306679294736843,0.89190712
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,19,4,75.0,0.0,2.964147715,3.959908145
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,20,11,27.272727272727273,0.0,-3.444282372727273,-3.60579174
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,21,40,20.0,0.0,-6.310744286250001,-6.97752267
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,22,61,27.868852459016395,0.0,-7.06530577377049,-6.46340932
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,23,96,44.791666666666664,0.0,-2.3974084998958323,-0.83067753
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,0,59,37.28813559322034,0.0,-2.980308699152541,-3.19724507
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,1,44,52.27272727272727,0.0,-1.3214438454545459,0.27301082
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,2,92,56.52173913043478,0.0,1.7343036879347826,2.04232146
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,3,77,57.142857142857146,0.0,3.169070496363636,1.8236866
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,4,56,66.07142857142857,0.0,8.229506161964286,5.9632276950000005
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,5,47,53.191489361702125,0.0,3.3509512585106385,0.69123575
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,6,39,56.41025641025641,0.0,-0.5440711715384615,0.43003156
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,7,29,75.86206896551724,0.0,4.1339429641379315,3.31542594
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,8,17,5.882352941176471,0.0,-7.501772504117646,-8.15422699
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,9,29,72.41379310344827,0.0,4.511272192068965,4.02185671
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,10,37,54.054054054054056,0.0,-0.05931115675675683,0.46087409
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,11,37,62.16216216216216,0.0,7.519585507837837,8.00346561
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,12,42,66.66666666666667,0.0,5.599339915238095,2.32686119
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,13,13,46.15384615384615,0.0,-0.938493576153846,-2.96195601
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,14,5,60.0,0.0,1.536712012,2.29692883
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,15,4,50.0,0.0,-1.21490286,-0.468654435
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,16,2,0.0,0.0,-2.929845285,-2.929845285
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,17,9,55.55555555555556,0.0,-0.19713954444444434,0.21942232
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,18,19,73.6842105263158,0.0,1.1352783573684213,2.12805908
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,19,4,50.0,0.0,3.1676793225,3.28868511
