timeframe,context_code,horizon_sec,status,n,long_positive_n,long_positive_pct,long_net_p25_usd,long_net_median_usd,long_net_p75_usd,long_mfe_p25_usd,long_mfe_median_usd,long_mfe_p75_usd,long_mae_p25_usd,long_mae_median_usd,long_mae_p75_usd,short_positive_n,short_positive_pct,short_net_p25_usd,short_net_median_usd,short_net_p75_usd,short_mfe_p25_usd,short_mfe_median_usd,short_mfe_p75_usd,short_mae_p25_usd,short_mae_median_usd,short_mae_p75_usd
5m,P5_BUILDING,300,QUOTE_GAP,1,0,0.0,-0.239,-0.239,-0.239,1.258,1.258,1.258,-30.109,-30.109,-30.109,0,0.0,-37.46,-37.46,-37.46,-7.552,-7.552,-7.552,-39.744,-39.744,-39.744
5m,P5_BUILDING,600,OK,8,4,50.0,-89.08999999999999,3.2300000000000004,43.9315,-0.0625,29.8615,111.21825,-112.7765,-92.518,-60.868,3,37.5,-83.08,-42.274,44.730999999999995,22.081249999999997,49.766000000000005,74.0305,-149.644,-69.3905,-39.00325
5m,P5_UNWINDING,180,OK,2,0,0.0,-46.6645,-35.641999999999996,-24.6195,-17.012999999999998,-15.534,-14.055,-49.8925,-41.993,-34.0935,1,50.0,-14.162500000000001,-3.0330000000000013,8.096499999999999,-3.5817499999999995,4.517500000000001,12.616750000000001,-24.321749999999998,-22.9525,-21.58325
5m,P5_UNWINDING,180,QUOTE_GAP,1,0,0.0,-18.745,-18.745,-18.745,-17.076,-17.076,-17.076,-18.776,-18.776,-18.776,0,0.0,-17.138,-17.138,-17.138,-17.138,-17.138,-17.138,-18.338,-18.338,-18.338
5m,P5_UNWINDING,300,OK,3,0,0.0,-31.5885,-25.838,-14.4135,-17.784,-17.076,-9.849,-42.987,-26.194,-26.087,0,0.0,-23.565,-10.838,-6.749499999999999,-11.2595,-10.838,5.1895,-28.2775,-20.214,-19.276
5m,P5_UNWINDING,600,OK,3,1,33.333333333333336,-32.2455,-25.088,-10.981,-9.855,-2.622,0.4155,-50.1725,-40.565,-33.2725,1,33.333333333333336,-27.594499999999996,-13.889,-6.925,-4.776999999999999,1.284,11.250499999999999,-39.066,-36.341,-29.6265
5m,P6_BUILDING,180,OK,4,2,50.0,-36.295249999999996,-6.28,32.957499999999996,-16.19775,-1.968,34.32175,-49.445750000000004,-24.9285,-21.773,1,25.0,-72.24675,-32.56,-2.036249999999999,-16.33025,-12.8605,10.97325,-73.531,-36.120000000000005,-21.01075
5m,P6_BUILDING,180,QUOTE_GAP,1,0,0.0,-107.489,-107.489,-107.489,2.287,2.287,2.287,-109.387,-109.387,-109.387,1,100.0,69.469,69.469,69.469,72.929,72.929,72.929,-40.307,-40.307,-40.307
5m,P6_BUILDING,300,OK,5,3,60.0,-70.669,7.346,17.162,2.287,20.026,28.324,-115.304,-27.493,-22.364,2,40.0,-55.248,-46.687,31.1,-15.107,-10.614,75.735,-68.165,-57.692,-40.307
5m,P6_BUILDING,600,OK,5,1,20.0,-115.259,-49.055,-28.166,2.287,26.596,28.324,-133.986,-53.076,-28.167,3,60.0,-8.358,12.271,76.987,-7.909,17.663,95.528,-68.165,-64.725,-40.307
5m,P6_UNWINDING,180,OK,4,1,25.0,-50.14175,-30.619500000000002,-6.752999999999999,-11.752,-7.4425,-1.7202499999999996,-52.7675,-35.3445,-18.470750000000002,2,50.0,-30.408749999999998,-8.4515,8.118500000000001,-17.99325,-4.8255,9.70525,-41.379749999999994,-33.906,-26.7015
5m,P6_UNWINDING,180,QUOTE_GAP,1,0,0.0,-40.107,-40.107,-40.107,-19.587,-19.587,-19.587,-48.807,-48.807,-48.807,1,100.0,0.982,0.982,0.982,11.861,11.861,11.861,-19.727,-19.727,-19.727
5m,P6_UNWINDING,300,OK,4,1,25.0,-66.33975000000001,-59.007000000000005,-37.214999999999996,-19.68025,-14.3015,-4.023750000000001,-72.44225,-69.3255,-54.94625,3,75.0,-7.858500000000001,15.2925,26.42625,10.601999999999999,26.322000000000003,33.347,-41.436499999999995,-29.436999999999998,-19.93025
5m,P6_UNWINDING,300,QUOTE_GAP,1,0,0.0,-16.65,-16.65,-16.65,-5.869,-5.869,-5.869,-18.515,-18.515,-18.515,0,0.0,-19.036,-19.036,-19.036,-17.936,-17.936,-17.936,-28.936,-28.936,-28.936
5m,P6_UNWINDING,600,OK,5,1,20.0,-70.868,-26.714,-23.463,-19.587,-9.016,-5.869,-75.263,-67.149,-24.98,2,40.0,-21.178,-11.536,30.87,-11.536,20.191,36.029,-38.876,-28.936,-19.998
5m,P7_BUILDING,180,OK,3,1,33.333333333333336,-58.61,-10.487,2.208,2.7650000000000006,14.8,18.810000000000002,-69.2745,-26.935,-25.085,1,33.333333333333336,-40.396,-28.341,19.416500000000003,-12.200500000000002,-10.566,30.744500000000002,-57.8175,-54.359,-42.286500000000004
5m,P7_BUILDING,300,OK,4,1,25.0,-113.78725,-52.46,-5.566,8.801000000000002,18.810000000000002,24.262,-135.48025,-71.225,-26.009999999999998,2,50.0,-31.850749999999998,13.908,74.69325,-11.38325,33.388999999999996,97.73499999999999,-62.73725,-57.8175,-48.32275
5m,P7_BUILDING,600,OK,4,2,50.0,-96.80375000000001,-38.1865,15.923250000000001,20.815,26.881999999999998,35.97425,-154.28125,-116.088,-74.5035,2,50.0,-54.2595,0.057500000000000995,58.072,37.365249999999996,78.3865,116.48274999999998,-73.32375,-64.797,-59.54675
5m,P7_UNWINDING,180,OK,3,1,33.333333333333336,-50.9615,-15.467,-7.2805,-5.5695,0.983,20.823999999999998,-58.094,-27.042,-25.65,1,33.333333333333336,-35.3935,-31.53,7.463000000000001,-17.094,-14.855,17.902,-59.286,-39.412,-36.4195
5m,P7_UNWINDING,300,OK,2,0,0.0,-28.182249999999996,-23.1905,-18.19875,-8.84575,-5.5695,-2.29325,-32.1225,-29.500999999999998,-26.8795,0,0.0,-22.17875,-19.3935,-16.608249999999998,-14.034749999999999,-13.214500000000001,-12.39425,-37.915749999999996,-36.4195,-34.92325
5m,P7_UNWINDING,300,QUOTE_GAP,1,0,0.0,-12.235,-12.235,-12.235,40.665,40.665,40.665,-116.138,-116.138,-116.138,0,0.0,-26.917,-26.917,-26.917,76.138,76.138,76.138,-79.16,-79.16,-79.16
5m,P7_UNWINDING,600,OK,3,1,33.333333333333336,-43.1085,-28.659,-11.523499999999999,-2.5065,7.109,24.287000000000003,-89.28450000000001,-62.431,-43.3445,1,33.333333333333336,-30.161499999999997,-16.956,0.3025000000000002,2.643,18.744,47.441,-63.095,-45.65,-39.5385
5m,P8_BUILDING,180,OK,24,4,16.666666666666668,-26.69825,-15.4795,-7.5424999999999995,-15.3915,-10.792,3.0272500000000004,-37.341,-28.244,-22.8165,2,8.333333333333334,-32.66525,-23.762500000000003,-15.4795,-17.97775,-8.9405,-2.659,-39.32375,-30.9265,-24.155749999999998
5m,P8_BUILDING,300,OK,24,3,12.5,-33.80200000000001,-24.3575,-9.55125,-14.878499999999999,-2.42,11.763,-52.187,-32.0,-26.813,4,16.666666666666668,-33.91025,-15.846,-8.97375,-11.268749999999999,-6.2379999999999995,12.939250000000001,-53.327000000000005,-38.099999999999994,-24.6085
5m,P8_BUILDING,600,OK,21,5,23.80952380952381,-37.879,-27.003,-6.109,-9.899,-1.022,24.043,-73.153,-37.704,-31.546,4,19.047619047619047,-40.164,-12.111,-2.121,-8.454,-2.527,35.533,-65.279,-45.587,-29.733
5m,P8_MISSING,180,OK,1,0,0.0,-30.141,-30.141,-30.141,-16.871,-16.871,-16.871,-86.341,-86.341,-86.341,0,0.0,-8.344,-8.344,-8.344,48.721,48.721,48.721,-20.38,-20.38,-20.38
5m,P8_MISSING,180,QUOTE_GAP,1,0,0.0,-89.55,-89.55,-89.55,-1.349,-1.349,-1.349,-120.131,-120.131,-120.131,1,100.0,51.025,51.025,51.025,81.55,81.55,81.55,-37.232,-37.232,-37.232
5m,P8_MISSING,300,OK,2,1,50.0,-49.725500000000004,-20.159000000000002,9.407499999999999,11.486,24.321,37.156000000000006,-111.68350000000001,-103.23599999999999,-94.7885,1,50.0,-46.88975000000001,-17.689500000000002,11.510749999999998,56.92824999999999,65.1355,73.34275,-75.66499999999999,-62.854,-50.043
5m,P8_MISSING,600,OK,2,1,50.0,-3.7535,-1.417,0.9194999999999998,15.748750000000001,27.2985,38.84825000000001,-120.685,-109.237,-97.78899999999999,0,0.0,-39.21525,-36.6895,-34.16375,60.144999999999996,71.569,82.993,-77.35725,-65.8315,-54.30575
5m,P8_UNWINDING,180,OK,20,2,10.0,-47.521,-28.430999999999997,-22.5325,-19.157249999999998,-15.0375,-0.9035000000000002,-58.0955,-38.467,-26.8435,8,40.0,-18.926000000000002,-14.0335,7.30025,-14.15475,-0.4605,18.43425,-38.6325,-28.889499999999998,-21.726
5m,P8_UNWINDING,300,OK,20,6,30.0,-32.64625,-18.723,0.37850000000000006,-16.02525,0.357,20.054750000000002,-75.927,-54.188,-32.53425,4,20.0,-40.36375,-23.192999999999998,-6.021,-7.36975,10.438,36.50675,-59.39875,-41.282,-24.983
5m,P8_UNWINDING,300,QUOTE_GAP,1,0,0.0,-19.556,-19.556,-19.556,-11.79,-11.79,-11.79,-93.596,-93.596,-93.596,0,0.0,-25.282,-25.282,-25.282,51.114,51.114,51.114,-32.338,-32.338,-32.338
5m,P8_UNWINDING,600,OK,21,4,19.047619047619047,-47.067,-21.403,-5.211,-13.898,-0.88,20.147,-93.596,-56.392,-32.634,6,28.571428571428573,-40.491,-18.412,1.18,-6.516,13.584,51.62,-62.161,-45.515,-26.839
5m,P8_UNWINDING,600,QUOTE_GAP,1,0,0.0,-47.166,-47.166,-47.166,26.135,26.135,26.135,-151.069,-151.069,-151.069,1,100.0,8.361,8.361,8.361,111.416,111.416,111.416,-65.773,-65.773,-65.773
