source_dataset,sample_scope,direction_class,hypothesis,state,window_sec,horizon_sec,n,match_n,mismatch_n,flat_n,match_pct,flat_pct,raw_mean_bps,raw_p05_bps,raw_p25_bps,raw_median_bps,raw_p75_bps,raw_p95_bps,signed_mean_bps,signed_p05_bps,signed_p25_bps,signed_median_bps,signed_p75_bps,signed_p95_bps
NEW_05M,PRIMARY_CLEAN,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,180,300,266,157,109,0,59.02255639097744,0.0,0.7057233501503758,-6.151660965,-1.7426110725,0.7411746050000001,3.5232639925,7.231287255,0.7057233501503758,-6.151660965,-1.7426110725,0.7411746050000001,3.5232639925,7.231287255
NEW_05M,PRIMARY_CLEAN,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,180,600,253,147,105,1,58.10276679841897,0.3952569169960474,1.0245006906324112,-10.8085796,-1.79243592,0.70163512,4.07372665,12.80774353599999,1.0245006906324112,-10.8085796,-1.79243592,0.70163512,4.07372665,12.80774353599999
NEW_05M,PRIMARY_CLEAN,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,300,60,163,79,76,8,48.466257668711656,4.9079754601226995,-0.001983609570552085,-2.8798086179999998,-1.2227914599999998,0.0,1.00068183,2.7795600220000023,-0.001983609570552085,-2.8798086179999998,-1.2227914599999998,0.0,1.00068183,2.7795600220000023
NEW_05M,PRIMARY_CLEAN,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,300,180,158,77,77,4,48.734177215189874,2.5316455696202533,0.28067565253164567,-4.7804448745,-2.100555195,0.0,2.3121983575,6.1725755405000005,0.28067565253164567,-4.7804448745,-2.100555195,0.0,2.3121983575,6.1725755405000005
NEW_05M,PRIMARY_CLEAN,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,300,300,156,88,66,2,56.41025641025641,1.2820512820512822,0.8507680653205127,-4.0331491999999995,-1.4367629875,0.218527425,2.925620265,6.32996184,0.8507680653205127,-4.0331491999999995,-1.4367629875,0.218527425,2.925620265,6.32996184
NEW_05M,PRIMARY_CLEAN,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,300,600,148,77,70,1,52.027027027027025,0.6756756756756757,1.086188621621622,-4.7673770995,-2.4070880925,0.24081814,3.324288125,10.749066143500007,1.086188621621622,-4.7673770995,-2.4070880925,0.24081814,3.324288125,10.749066143500007
NEW_05M,PRIMARY_CLEAN,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,900,60,47,22,23,2,46.808510638297875,4.25531914893617,-0.31824655510638306,-2.9379489149999998,-1.68357885,0.0,0.694003705,2.1385856939999996,-0.31824655510638306,-2.9379489149999998,-1.68357885,0.0,0.694003705,2.1385856939999996
NEW_05M,PRIMARY_CLEAN,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,900,180,46,18,27,1,39.130434782608695,2.1739130434782608,-1.2862760804347833,-7.385095507500001,-3.1452507350000003,-0.5539852249999999,0.8266269875,2.561365135,-1.2862760804347833,-7.385095507500001,-3.1452507350000003,-0.5539852249999999,0.8266269875,2.561365135
NEW_05M,PRIMARY_CLEAN,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,900,300,46,25,20,1,54.34782608695652,2.1739130434782608,-0.02952887086956521,-6.141962735,-1.6683599249999999,0.46773925,2.086624975,4.4022452925,-0.02952887086956521,-6.141962735,-1.6683599249999999,0.46773925,2.086624975,4.4022452925
NEW_05M,PRIMARY_CLEAN,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,900,600,46,26,20,0,56.52173913043478,0.0,-0.07686556217391298,-6.263752275,-2.8846485950000003,0.60022921,2.9952287125,5.63241655,-0.07686556217391298,-6.263752275,-2.8846485950000003,0.60022921,2.9952287125,5.63241655
