source_dataset,direction_class,hypothesis,state,window_sec,horizon_sec,oi_context,n,match_pct,signed_mean_bps,signed_median_bps
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,600,BUILDING,11,54.54545454545455,0.4379249972727271,0.51480212
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,600,UNWINDING,19,52.63157894736842,-0.40184739263157926,0.63730108
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,60,BUILDING,107,43.925233644859816,-1.3583247642990657,-0.87281251
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,60,STALE,16,50.0,-0.4546030162500001,-0.5684733700000001
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,60,UNWINDING,64,51.5625,0.49820368078125,0.13140307499999998
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,180,BUILDING,103,39.80582524271845,-1.901258763203884,-1.05992412
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,180,STALE,15,13.333333333333334,-2.966471744,-3.76458585
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,180,UNWINDING,63,41.26984126984127,-0.8092787804761906,-1.43452106
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,300,BUILDING,100,44.0,-2.0586418144000005,-1.29520356
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,300,STALE,14,21.428571428571427,-5.825010172142856,-5.50815317
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,300,UNWINDING,62,38.70967741935484,-0.8017547537096776,-1.65623135
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,600,BUILDING,90,46.666666666666664,1.480089672444446,-1.475756935
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,600,STALE,14,35.714285714285715,-7.512280832142858,-6.046013085
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,600,UNWINDING,56,62.5,4.993756040000001,0.75064939
